InscriptionYear,HusbandAge,HusbandPreviousMaritalStatus,HusbandCityBirthPlace,HusbandCountryBirthPlace,HusbandCityResidencePlace,HusbandCountryResidencePlace,HusbandPreviousMarriages,HusbandPreviousChildren,WifeAge,WifePreviousMaritalStatus,WifeCityBirthPlace,WifeCountryBirthPlace,WifeCityResidencePlace,WifeCountryResidencePlace,WifePreviousMarriages,WifePreviousChildren,MarriageDate,MarriagePlace
2013,19,NUNCA SE HA CASADO,MAYAGUEZ,PUERTO RICO,MAYAGUEZ,PUERTO RICO,0,0,16,NUNCA SE HA CASADO,MAYAGUEZ,PUERTO RICO,MAYAGUEZ,PUERTO RICO,0,0,12/7/13,HORMIGUEROS
2013,26,NUNCA SE HA CASADO,ARECIBO,PUERTO RICO,ARECIBO,PUERTO RICO,0,0,26,NUNCA SE HA CASADO,ARECIBO,PUERTO RICO,ARECIBO,PUERTO RICO,0,0,11/10/13,ARECIBO
2013,29,NUNCA SE HA CASADO,CALIFORNIA,ESTADOS UNIDOS,MAYAGUEZ,PUERTO RICO,0,0,23,NUNCA SE HA CASADO,MAYAGUEZ,PUERTO RICO,RINCON,PUERTO RICO,0,0,12/28/13,AGUADA
2013,55,DIVORCIO O ANULACION,ARECIBO,PUERTO RICO,ARECIBO,PUERTO RICO,1,2,55,DIVORCIO O ANULACION,ARECIBO,PUERTO RICO,ARECIBO,PUERTO RICO,1,3,11/30/13,ARECIBO
2013,28,NUNCA SE HA CASADO,SAN JUAN,PUERTO RICO,CAGUAS,PUERTO RICO,0,0,22,NUNCA SE HA CASADO,SAN JUAN,PUERTO RICO,CIALES,PUERTO RICO,0,0,8/30/13,DORADO
2013,33,DIVORCIO O ANULACION,RIO PIEDRAS,PUERTO RICO,RIO GRANDE,PUERTO RICO,1,1,25,NUNCA SE HA CASADO,RIO PIEDRAS,PUERTO RICO,RIO GRANDE,PUERTO RICO,0,0,9/14/13,RIO GRANDE
2013,28,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,SAN JUAN,PUERTO RICO,0,0,29,NUNCA SE HA CASADO,RIO PIEDRAS,PUERTO RICO,SAN JUAN,PUERTO RICO,0,0,3/23/13,TOA BAJA
2013,34,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,GUAYNABO,PUERTO RICO,0,0,27,NUNCA SE HA CASADO,RIO PIEDRAS,PUERTO RICO,GUAYNABO,PUERTO RICO,0,0,4/7/13,BAYAMON
2013,31,NUNCA SE HA CASADO,ARECIBO,PUERTO RICO,CAROLINA,PUERTO RICO,0,0,27,NUNCA SE HA CASADO,SAN JUAN,PUERTO RICO,CAROLINA,PUERTO RICO,0,0,3/2/13,CAROLINA
2013,63,DIVORCIO O ANULACION,COAMO,PUERTO RICO,COAMO,PUERTO RICO,1,3,55,DIVORCIO O ANULACION,COAMO,PUERTO RICO,COAMO,PUERTO RICO,1,3,7/3/13,COAMO
2013,39,DIVORCIO O ANULACION,RIO PIEDRAS,PUERTO RICO,SAN JUAN,PUERTO RICO,1,0,36,DIVORCIO O ANULACION,SAN JUAN,PUERTO RICO,SAN JUAN,PUERTO RICO,1,0,6/15/13,SAN JUAN
2013,24,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,NARANJITO,PUERTO RICO,0,0,26,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,COROZAL,PUERTO RICO,0,0,9/21/13,NARANJITO
2013,25,NUNCA SE HA CASADO,ARECIBO,PUERTO RICO,MANATI,PUERTO RICO,0,0,21,NUNCA SE HA CASADO,RIO PIEDRAS,PUERTO RICO,MANATI,PUERTO RICO,0,0,2/2/13,MANATI
2013,40,DIVORCIO O ANULACION,RIO PIEDRAS,PUERTO RICO,TOA BAJA,PUERTO RICO,1,2,42,DIVORCIO O ANULACION,TOA BAJA,PUERTO RICO,TOA BAJA,PUERTO RICO,1,0,8/24/13,TOA BAJA
2013,21,NUNCA SE HA CASADO,SAN JUAN,PUERTO RICO,AGUAS BUENAS,PUERTO RICO,0,0,21,NUNCA SE HA CASADO,CAGUAS,PUERTO RICO,AGUAS BUENAS,PUERTO RICO,0,0,6/29/13,CAGUAS
2013,30,NUNCA SE HA CASADO,SAN JUAN,PUERTO RICO,SAN JUAN,PUERTO RICO,0,0,23,NUNCA SE HA CASADO,SAN JUAN,PUERTO RICO,SAN JUAN,PUERTO RICO,0,0,6/8/13,BAYAMON
2013,39,DIVORCIO O ANULACION,ARROYO,PUERTO RICO,JUANA DIAZ,PUERTO RICO,1,1,33,DIVORCIO O ANULACION,PONCE,PUERTO RICO,JUANA DIAZ,PUERTO RICO,1,0,5/11/13,GUANICA
2013,18,NUNCA SE HA CASADO,MAYAGUEZ,PUERTO RICO,ANASCO,PUERTO RICO,0,0,17,NUNCA SE HA CASADO,MAYAGUEZ,PUERTO RICO,MAYAGUEZ,PUERTO RICO,0,0,10/29/13,ANASCO
